Handle,Title,Vendor,Product Type,SKU,Barcode,Status,Published,Tags,Price,Compare At Price,Cost per item,Inventory Qty,Weight,Image Src,product.metafields.custom.unidade,product.metafields.custom.ncm,product.metafields.custom.cest,product.metafields.custom.cfop,product.metafields.custom.icms,product.metafields.custom.composicao
aparadores-livros-polirresina,Aparadores de livros em polirresina,MART,ADORNOS,19487,7908103794877,active,TRUE,,165.55,,75.25,2.0,1.02,,PC,39264000,,5102,,100% POLIRRESINA_x000D_
bandeja-mdf-rattan,Bandeja em mdf e rattan,MART,BANDEJAS,16752,7908103767529,active,TRUE,,114.42,,52.01,2.0,0.84,,PC,44209000,,5102,,50% MDF + 25% VIDRO + 25% PVC
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,09616,7899525696163,active,TRUE,,51.04,,23.2,6.0,0.41,,PC,73239900,,5102,,70% METAL (FERRO) + 30% ESPELHO
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,20732,7908103807324,active,TRUE,,91.89,,41.77,3.0,0.48,,PC,73239900,,5102,,70% METAL (FERRO) + 30% ESPELHO
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,20733,7908103807331,active,TRUE,,110.31,,50.14,3.0,0.66,,PC,73239900,,5102,,70% METAL (FERRO) + 30% ESPELHO
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,09617,7899525696170,active,TRUE,,71.5,,32.5,6.0,0.545,,PC,73239900,,5102,,70% METAL (FERRO) + 30% ESPELHO
bandeja-metal-vidro,Bandeja em metal com vidro,MART,BANDEJAS,11980,7908103719801,active,TRUE,,45.94,,20.88,6.0,0.365,,PC,73239900,,5102,,70% METAL (FERRO) + 30% VIDRO
bandeja-vidro-espelho,Bandeja em vidro com espelho,MART,BANDEJAS,19587,7908103795874,active,TRUE,,67.39,,30.63,3.0,0.665,,PC,73239900,,5102,,10% METAL + 90% VIDRO_x000D_
bandeja-vidro-espelho,Bandeja em vidro com espelho,MART,BANDEJAS,19588,7908103795881,active,TRUE,,79.66,,36.21,3.0,0.94,,PC,73239900,,5102,,10% METAL + 90% VIDRO_x000D_
bandeja-vidro-espelho,Bandeja em vidro com espelho,MART,BANDEJAS,19586,7908103795867,active,TRUE,,55.11,,25.05,3.0,0.475,,PC,73239900,,5102,,10% METAL + 90% VIDRO_x000D_
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,16067,7908103760674,active,TRUE,,165.59,,75.27,4.0,0.585,,PC,44209000,,5102,,55% MDF + 45% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18221,7908103782218,active,TRUE,,91.89,,41.77,2.0,0.27,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18222,7908103782225,active,TRUE,,119.5,,54.32,2.0,0.395,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18215,7908103782157,active,TRUE,,276.03,,125.47,1.0,0.84,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,19322,7908103793221,active,TRUE,,178.93,,81.33,2.0,0.905,,PC,44201900,,5102,,80% MDF + 20% PU_x000D_
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18216,7908103782164,active,TRUE,,239.21,,108.73,1.0,0.68,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18220,7908103782201,active,TRUE,,119.5,,54.32,2.0,0.405,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18219,7908103782195,active,TRUE,,91.89,,41.77,2.0,0.285,,PC,44201900,,5102,,80% MDF + 20% PU
centro-mesa-ceramica,Centro de mesa em ceramica,MART,CENTROS DE MESA,19784,7908103797847,active,TRUE,,143.11,,65.05,2.0,1.52,,PC,69139000,,5102,,100% CERAMICA
centro-mesa-fibra-natural,Centro de mesa em fibra natural,MART,CENTROS DE MESA,19067,7908103790671,active,TRUE,,153.34,,69.7,2.0,0.75,,PC,46021900,,5102,,85% FIBRA NATURAL + 15% METAL_x000D_
colar-decorativo-madeira,Colar decorativo em madeira,MART,ADORNOS,15133,7908103751337,active,TRUE,,45.85,,20.84,3.0,0.125,,PC,44201900,,5102,,90% MADEIRA + 10% CORDA DE JUTA
colar-decorativo-madeira,Colar decorativo em madeira,MART,ADORNOS,15130,7908103751306,active,TRUE,,55.07,,25.03,3.0,0.16,,PC,44201900,,5102,,90% MADEIRA + 10% CORDA DE JUTA
copo-ceramica,Copo em ceramica,MART,ACESSORIOS DE BANHEIRO,20616,7908103806167,active,TRUE,,48.97,,22.26,3.0,0.28,,PC,69139000,,5102,,100% CERAMICA
copo-cimento,Copo em cimento,MART,ACESSORIOS DE BANHEIRO,19172,7908103791722,active,TRUE,,25.48,,11.58,6.0,0.305,,PC,68109900,,5102,,100% CIMENTO
copo-cimento,Copo em cimento,MART,ACESSORIOS DE BANHEIRO,18356,7908103783567,active,TRUE,,36.7,,16.68,6.0,0.35,,PC,68109900,,5102,,100% CIMENTO
escultura-mulher-polirresina,Escultura mulher em polirresina,MART,ESCULTURAS,18386,7908103783864,active,TRUE,,73.48,,33.4,2.0,0.345,,PC,39264000,,5102,,100% POLIRRESINA
escultura-mulher-polirresina,Escultura mulher em polirresina,MART,ESCULTURAS,18385,7908103783857,active,TRUE,,73.48,,33.4,2.0,0.32,,PC,39264000,,5102,,100% POLIRRESINA
ampulheta-vidro-1-minuto,Ampulheta em vidro 1 minuto,MART,ADORNOS,18739-P,7908103787404,active,TRUE,,21.96,,9.98,4.0,0.025,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO
ampulheta-vidro-5-minutos,Ampulheta em vidro 5 minutos,MART,ADORNOS,18739-G,7908103787428,active,TRUE,,38.7,,17.59,4.0,0.065,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO
ampulheta-vidro-3-minutos,Ampulheta em vidro 3 minutos,MART,ADORNOS,18739-M,7908103787411,active,TRUE,,31.24,,14.2,4.0,0.04,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO
bandeja-madeira,Bandeja em madeira,MART,BANDEJAS,20917-P,7908103809182,active,TRUE,,122.72,,55.78,3.0,0.475,,PC,44209000,,5102,,100%  MADEIRA (PINHEIRO)_x000D_
bandeja-madeira,Bandeja em madeira,MART,BANDEJAS,20917-G,7908103809199,active,TRUE,,184.07,,83.67,3.0,0.905,,PC,44209000,,5102,,100%  MADEIRA (PINHEIRO)_x000D_
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,20724-G,7908103807263,active,TRUE,,110.37,,50.17,2.0,0.75,,PC,73239900,,5102,,70% FERRO + 30% ESPELHO_x000D_
bandeja-metal-espelho,Bandeja em metal com espelho,MART,BANDEJAS,20724-P,7908103807256,active,TRUE,,73.59,,33.45,2.0,0.53,,PC,73239900,,5102,,70% FERRO + 30% ESPELHO_x000D_
bau-rattan,Bau em rattan,MART,ORGANIZADORES,19980-P,7908103799810,active,TRUE,,257.73,,117.15,1.0,0.835,,PC,46021900,,5102,,50% MADEIRA (COMPENSADO) 40% RATTAN 10% FERRO
bau-rattan,Bau em rattan,MART,ORGANIZADORES,19980-G,7908103799827,active,TRUE,,386.58,,175.72,1.0,1.51,,PC,46021900,,5102,,50% MADEIRA (COMPENSADO) 40% RATTAN 10% FERRO
caixa-madeira,Caixa em madeira,MART,ORGANIZADORES,19297-G,7908103792989,active,TRUE,,202.49,,92.04,2.0,1.28,,PC,44209000,,5102,,100% MADEIRA_x000D_
caixa-madeira,Caixa em madeira,MART,ORGANIZADORES,19297-P,7908103792996,active,TRUE,,134.99,,61.36,2.0,0.7,,PC,44209000,,5102,,100% MADEIRA
caixa-mdf,Caixa em mdf,MART,ORGANIZADORES,20911-G,7908103809137,active,TRUE,,198.77,,90.35,3.0,0.94,,PC,44201900,,5102,,100% MDF
caixa-mdf,Caixa em mdf,MART,ORGANIZADORES,20911-P,7908103809120,active,TRUE,,132.51,,60.23,3.0,0.615,,PC,44201900,,5102,,100% MDF
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18200-P,7908103782010,active,TRUE,,110.42,,50.19,3.0,0.29,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18212-P,7908103782133,active,TRUE,,110.42,,50.19,2.0,0.285,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18200-G,7908103782027,active,TRUE,,165.62,,75.28,3.0,0.48,,PC,44201900,,5102,,80% MDF + 20% PU
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,MART,ORGANIZADORES,18212-G,7908103782140,active,TRUE,,165.62,,75.28,2.0,0.48,,PC,44201900,,5102,,80% MDF + 20% PU
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20134-P,7908103801353,active,TRUE,,39.23,,17.83,3.0,0.19,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20131-G,7908103801339,active,TRUE,,77.22,,35.1,3.0,0.2,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20131-P,7908103801322,active,TRUE,,51.48,,23.4,3.0,0.19,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,20134-G,7908103801360,active,TRUE,,58.85,,26.75,3.0,0.205,,PC,83062900,,5102,,"99,5% FERRO + 0,5% EVA_x000D_"
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19109-G,7908103791128,active,TRUE,,77.44,,35.2,6.0,0.25,,PC,83062900,,5102,,100% METAL _x000D_
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19113-M,7908103791159,active,TRUE,,75.06,,34.12,3.0,0.24,,PC,83062900,,5102,,100% METAL _x000D_
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19113-P,7908103791142,active,TRUE,,52.76,,23.98,3.0,0.23,,PC,83062900,,5102,,100% METAL _x000D_
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19113-G,7908103791166,active,TRUE,,92.95,,42.25,3.0,0.25,,PC,83062900,,5102,,100% METAL _x000D_
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19109-M,7908103791111,active,TRUE,,62.55,,28.43,6.0,0.24,,PC,83062900,,5102,,100% METAL _x000D_
castical-metal,Castical em metal,MART,VELAS E ACESSORIOS,19109-P,7908103791104,active,TRUE,,43.96,,19.98,6.0,0.23,,PC,83062900,,5102,,100% METAL _x000D_
