Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Image Src,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,product.metafields.custom.unidade,product.metafields.custom.catalogo,product.metafields.custom.dimensoes_do_produto,product.metafields.custom.composicao,product.metafields.custom.capacidade,product.metafields.custom.modo_de_uso,product.metafields.custom.icms,product.metafields.custom.ncm,product.metafields.custom.pis,product.metafields.custom.ipi,product.metafields.custom.cofins,product.metafields.custom.componente_de_kit,product.metafields.custom.resistencia_a_agua,Variant Taxable,Cost per item,Image Position,Variant Image,Product Category,Type,Collection,Status
aparadores-livros-polirresina,Aparadores de livros em polirresina,,MART,"ADORNOS,2025 CATALOGO ANUAL,QL,BEGE",TRUE,,,,,,,19487,165.55,,2,1.02,kg,TRUE,,7908103794877,1020,shopify,deny,manual,PC,2025 CATALOGO ANUAL,19.5 x 8 x 19,100% POLIRRESINA,,"A polirresina é um material sintético composto por resinas e polímeros reforçados com fibra de vidro. É altamente durável, resistente ao desgaste do tempo e às intempéries, além de ser versátil e permitir moldagens precisas.
O processo de produção envolve o derramamento da polirresina líquida em moldes que são rotacionados para garantir uma distribuição uniforme enquanto endurece no formato desejado. Para a limpeza de superfícies lisas, use um pano levemente umedecido com água e sabão neutro, seguido de um pano seco. Para limpeza de superfícies porosas, utilize um espanador ou uma escova de cerdas macias. Não é recomendado o uso de produtos químicos ou abrasivos.",0,39264000,0,13,0,FALSE,Não se aplica,TRUE,75.25,,,,,,draft
bandeja-mdf-rattan,Bandeja em mdf e rattan,"Que tal uma peça curinga na decoração? As bandejas são versáteis, funcionais e permitem diversas composições para organizar o ambiente. Abuse da criatividade e explore todo o potencial que elas têm para valorizar o espaço, expor adornos decorativos e itens que juntos dão aquele toque tão especial ao décor.",MART,"BANDEJAS,OUTLET 2025,SF,MARROM",TRUE,,,,,,,16752,114.42,,2,840,g,TRUE,,7908103767529,840,shopify,deny,manual,PC,OUTLET 2025,3 x 18 x 38,50% MDF + 25% VIDRO + 25% PVC,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco. Evitar o excesso de peso sobre o vidro.",0,44209000,0,0,0,FALSE,Não se aplica,TRUE,52.01,,,,,,draft
bandeja-metal-espelho,Bandeja em metal com espelho,"Que tal uma peça curinga na decoração? As bandejas são versáteis, funcionais e permitem diversas composições para organizar o ambiente. Abuse da criatividade e explore todo o potencial das linhas retas e minimalistas para valorizar o espaço, expor adornos decorativos e itens que juntos dão aquele toque tão especial ao décor.",MART,"BANDEJAS,OUTLET 2025,HW,DOURADO",TRUE,,Default Title,,,,,09616,51.04,,6,410,g,TRUE,,7899525696163,410,shopify,deny,manual,PC,OUTLET 2025,4.5 x 12.5 x 24,70% METAL (FERRO) + 30% ESPELHO,,"Devem ficar em áreas cobertas, longe do sol, chuva ou umidade. Não utilizar produtos químicos ou abrasivos. Para limpeza é recomendado o uso de pano seco ou espanador. Evitar o excesso de peso sobre o produto",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,23.2,,,,,,draft
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,"BANDEJAS,2025 CATALOGO NEO COLLETION,NK,PRATA",TRUE,,Default Title-2,,,,,20732,91.89,,3,480,g,TRUE,,7908103807324,480,shopify,deny,manual,PC,2025 CATALOGO NEO COLLETION,3.5 x 24 x 13,70% METAL (FERRO) + 30% ESPELHO,,"Bandeja retangular em chapa de aço com detalhes recordado a laser nas laterais, e acabamento em pintura metalizada na cor cobre. Possui fundo em espelho, e pés metálicos. RECOMENDAÇÕES Evitar batidas; Para limpeza usar um pano levemente umedecido com água, seguido de pano seco; Não utilizar produtos químicos ou abrasivos.",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,41.77,,,,,,draft
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,"BANDEJAS,2025 CATALOGO NEO COLLETION,NK,PRATA",TRUE,,Default Title-3,,,,,20733,110.31,,3,660,g,TRUE,,7908103807331,660,shopify,deny,manual,PC,2025 CATALOGO NEO COLLETION,3.5 x 27 x 19,70% METAL (FERRO) + 30% ESPELHO,,"Bandeja retangular em chapa de aço com detalhes recordado a laser nas laterais, e acabamento em pintura metalizada na cor cobre. Possui fundo em espelho, e pés metálicos. RECOMENDAÇÕES Evitar batidas; Para limpeza usar um pano levemente umedecido com água, seguido de pano seco; Não utilizar produtos químicos ou abrasivos.",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,50.14,,,,,,draft
bandeja-metal-espelho,Bandeja em metal com espelho,"Que tal uma peça curinga na decoração? As bandejas são versáteis, funcionais e permitem diversas composições para organizar o ambiente. Abuse da criatividade e explore todo o potencial das linhas retas e minimalistas para valorizar o espaço, expor adornos decorativos e itens que juntos dão aquele toque tão especial ao décor.",MART,"BANDEJAS,OUTLET 2025,HW,DOURADO",TRUE,,Default Title-4,,,,,09617,71.5,,6,545,g,TRUE,,7899525696170,545,shopify,deny,manual,PC,OUTLET 2025,4.5 x 19.5 x 27.5,70% METAL (FERRO) + 30% ESPELHO,,"Devem ficar em áreas cobertas, longe do sol, chuva ou umidade. Não utilizar produtos químicos ou abrasivos. Para limpeza é recomendado o uso de pano seco ou espanador. Evitar o excesso de peso sobre o produto",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,32.5,,,,,,draft
bandeja-metal-vidro,Bandeja em metal com vidro,"Objetos versáteis permitem criar uma história diferente em cada lar e ambiente. As bandejas servem de inspiração para servir ou organizar, dando personalidade ao décor. A combinação entre metal e vidro é o must da nossa Bandeja.",MART,"BANDEJAS,OUTLET 2025,HW,PRETO",TRUE,,,,,,,11980,45.94,,6,365,g,TRUE,,7908103719801,365,shopify,deny,manual,PC,OUTLET 2025,4 x 12 x 24,70% METAL (FERRO) + 30% VIDRO,,"Devem ficar em áreas cobertas, longe do sol, chuva ou umidade. Não utilizar produtos químicos ou abrasivos. Para limpeza é recomendado o uso de pano seco ou espanador. Evitar o excesso de peso sobre o produto",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,20.88,,,,,,draft
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,"BANDEJAS,OUTLET 2025,NK,PRATA",TRUE,,Default Title,,,,,19587,67.39,,3,665,g,TRUE,,7908103795874,665,shopify,deny,manual,PC,OUTLET 2025,4 x 17.5 x 28.5,10% METAL + 90% VIDRO,,"O metal, embora rígido, passa por diversos processos produtivos. Sendo um material mais resistente e fácil de padronizar, é utilizado em produtos que exigem maior precisão. Esses processos produtivos são realizados manualmente por artesãos. Em geral, os produtos metálicos são mais resistentes, de fácil manutenção, versáteis em acabamento e duradouros. Para maior durabilidade, mantenha-os em áreas cobertas, longe do sol, chuva ou umidade. Para a limpeza, recomenda-se o uso de um pano seco. Evitar o excesso de peso sobre o vidro.",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,30.63,,,,,,draft
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,"BANDEJAS,OUTLET 2025,NK,PRATA",TRUE,,Default Title-2,,,,,19588,79.66,,3,940,g,TRUE,,7908103795881,940,shopify,deny,manual,PC,OUTLET 2025,4 x 22 x 35.5,10% METAL + 90% VIDRO,,"O metal, embora rígido, passa por diversos processos produtivos. Sendo um material mais resistente e fácil de padronizar, é utilizado em produtos que exigem maior precisão. Esses processos produtivos são realizados manualmente por artesãos. Em geral, os produtos metálicos são mais resistentes, de fácil manutenção, versáteis em acabamento e duradouros. Para maior durabilidade, mantenha-os em áreas cobertas, longe do sol, chuva ou umidade. Para a limpeza, recomenda-se o uso de um pano seco. Evitar o excesso de peso sobre o vidro.",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,36.21,,,,,,draft
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,"BANDEJAS,OUTLET 2025,NK,PRATA",TRUE,,Default Title-3,,,,,19586,55.11,,3,475,g,TRUE,,7908103795867,475,shopify,deny,manual,PC,OUTLET 2025,4 x 14 x 23,10% METAL + 90% VIDRO,,"O metal, embora rígido, passa por diversos processos produtivos. Sendo um material mais resistente e fácil de padronizar, é utilizado em produtos que exigem maior precisão. Esses processos produtivos são realizados manualmente por artesãos. Em geral, os produtos metálicos são mais resistentes, de fácil manutenção, versáteis em acabamento e duradouros. Para maior durabilidade, mantenha-os em áreas cobertas, longe do sol, chuva ou umidade. Para a limpeza, recomenda-se o uso de um pano seco. Evitar o excesso de peso sobre o vidro.",0,73239900,0,6.5,0,FALSE,Não se aplica,TRUE,25.05,,,,,,draft
